Datetime,Tweet Id,Text,Username
2022-01-30 22:41:40+00:00,1487918964722262019,"Atiku Abubakar is a leader with all philosophy of the Elites, A leader that comes to politics to serve not to be served, to give but not to take. He believes in one Nigeria.
#JoinASO #ASO2AsoRock #AtikuOccupyNigeria https://t.co/yD6gW7lJ1Y",jrnaib2
2022-01-30 22:39:59+00:00,1487918541277958144,"#JoinASO

ASO is the acronym for Atiku Support Organisation.

ASO is a unique association powered mostly by the youth who believe in the leadership ability of H.E @atiku Abubakar.
#ASO2AsoRock #AtikuOccupyNigeria #JoinASO https://t.co/bvytbsGEXB",jrnaib2
2022-01-30 22:06:06+00:00,1487910014828179456,"Bauchi governor: I told Atiku Abubakar to allow me to run for presidency because he’s old, tired https://t.co/q5hVfbHLyy",todayng
2022-01-30 21:38:48+00:00,1487903147150520324,"There will be just one EVENT in February 2022?

Yes! The Atiku Abubakar TownHall Meeting 

It will be in Lagos.

Date: 26th February, 2022.",AhmadNassarawa1
2022-01-30 21:35:42+00:00,1487902366724947969,"Only Atiku Abubakar can win APC.
Peter Obi cannot win any shit without a joint ticket as a VP to Atiku. Don't be deceived by zone to the south.",DrOkaforEmmanu1
2022-01-30 21:01:12+00:00,1487893682514804738,"Italy just elected a 80-Year-Old as President based on capacity.

America elected a 79 year old as President based on political experience. 

Nigeria deserves to elect 75 years of age @atiku Abubakar, based on competence, capacity, political experience to unite the Nation and 1/2 https://t.co/AWsikk4swW",Tafarki_2
2022-01-30 20:45:24+00:00,1487889708080377860,"Register With Atiku Support Organisation-ASO Now To Be Atiku Abubakar Representative in Your Polling Unit. 

https://t.co/2f1ujH2WPQ

#Aso2AsoRock 
#AtikuOccupyNigeria #JoinASO https://t.co/edmns6diGj",jrnaib2
2022-01-30 20:35:57+00:00,1487887327573823497,"As we’ve the opportunity to decide the future of our nation. Let us join hands and support the vision and plans of @atiku Abubakar for a better Nigeria 
#Atikukawai https://t.co/oqwVxAxVDF",Neerah_2
2022-01-30 20:35:01+00:00,1487887093217083395,"The right Man for the task ahead.
Is always not about age but about competency.

Thats why ATIKU ABUBAKAR 
@safeeyan_

 #Atikukawai https://t.co/LNtgf0bzp4",Abdullahigoslow
2022-01-30 20:31:27+00:00,1487886197808586757,"@atiku Abubakar has stressed the importance of education &amp; wanted to build an educated community, support ""The Atiku Plan"" #ASO2AsoRock #AtikuOccupyNigeria #joinASO https://t.co/8zAUruKxU9",jrnaib2
2022-01-30 20:27:19+00:00,1487885155490578432,"@Rasheethe Nigeria 🇳🇬 will Elect 75 years Atiku Abubakar based on Competence, Capacity, Credibility and Experience.",BoazJrn
2022-01-30 20:25:56+00:00,1487884806742491137,"Every time I visit Uyo, I always go to one or two for my Fisherman Soup. Never been disappointed yet in any of these places.
Pyramid Lounge 
Life Power
D castle, plot 25 unit F ewet housing estate, uyo, akwa ibom state.
Mustard seed at Atiku abubakar avenue, uyo, akwa ibom state.",UdofiaEA
2022-01-30 19:19:01+00:00,1487867969153769478,"2023: North Yet To Complete Presidency Seat ― Atiku

Former Vice-President Atiku Abubakar has charged candidates from the South-East, South-South and South-West to shelve ambitions of contesting for presidency in 2023 in line with true zoning.",Abdul_A_Bello
2022-01-30 19:17:02+00:00,1487867469016539136,"Former Vice President Atiku Abubakar don turn motivational speaker
All this one na against 2023 o! https://t.co/7GVDOGjth3",MrNnaeke
2022-01-30 19:03:32+00:00,1487864072943157257,"@the_scholar1 Lmao, which of the Atiku Abubakar?",starbossZamani
2022-01-30 18:48:05+00:00,1487860184311554048,Na faɗawa Atiku Abubakar Gaskiya ya tsufa da mulkin Nageriya domin ya gaji ~Cewar kauran Bauchi. https://t.co/KrXee6Jr20,Jaridar_Mikiya
2022-01-30 18:27:23+00:00,1487854972444229633,Atiku Abubakar just sent me a friend request on Facebook. https://t.co/5QxRX0P6Jt,the_scholar1
2022-01-30 17:24:49+00:00,1487839230541930508,"Ohanaeze Ndigbo Worldwide has cautioned the former Vice President Atiku Abubakar to desist from working against the rotational presidency between the North and South.

https://t.co/k2dcg538Dl

#OperaNewsHub",OperaNewsHubNG
2022-01-30 16:58:10+00:00,1487832521668710409,""" North is yet to complete the presidency seat""

-ATIKU Abubakar",emir500
2022-01-30 16:39:32+00:00,1487827834836029441,"@atiku Insha Allah that's how you will come back in the 2023 general election. We are looking forward to witness "" I ATIKU Abubakar do solemnly swear.....",abdullahim257
2022-01-30 16:35:41+00:00,1487826863301009419,"Atiku Abubakar (@atiku) Tweeted:
This one hurts me deeply. Hamman Ahmad, former CG of the Nigeria Customs Service, was not just my childhood friend; he was my brother. I have been mourning since I got the news of his death. https://t.co/4n6rGvcroy (https://t.co/CbbiEKJDFp)",recentbornoyesu
2022-01-30 16:09:16+00:00,1487820215031324674,@ArewaaConnect Atiku Abubakar and Petter Obi,Ubandomajr001
2022-01-30 15:52:02+00:00,1487815879568023555,@DailyPostNGR Aslm Allah ya taimaki Mai gidanmu tare damu alh atiku abubakar wazirin adamawa,DaudaMakeri
2022-01-30 15:19:24+00:00,1487807665501880324,"Bala Mohammed, governor of Bauchi state, says former Vice-President Atiku Abubakar is qualified to be president but age is not on his side.

The former vice-president is 75 years old.
 https://t.co/LZGcyaLxaK",yunusxonline
