,Datetime,Tweet Id,Text,Username
0,2022-01-30 23:38:14+00:00,1487933203809714177,"Dear Mr president Muhammadu Buhari, please handover power to professor Babagana Umar Zulum we need somebody like him in this country. If u truly need the progress of this Country https://t.co/56OucHXIqg",ismailmsani4
1,2022-01-30 22:34:47+00:00,1487917234106339330,@yush_belle Muhammadu Buhari: Challenges of Leadership in Nigeria by John. N Paden,alliiyyu
2,2022-01-30 22:23:50+00:00,1487914477521674244,"@fash360degree @MuhammaduBuhari The so called cases, what has he done, l look at it as a blessing honestly.",4real009494661
3,2022-01-30 22:14:08+00:00,1487912038026420225,"@fash360degree @MuhammaduBuhari He should go and try the soapbox...Not excited by his mien nor disposition to corruption cases...Never impressed me but for occasional flashes...A hard-nosed, no nonsense guy with unblemished record is required to rework the Attorney General's office",lukemonowolabi
4,2022-01-30 22:02:11+00:00,1487909028588142596,"President Muhammadu Buhari has joined the entertainment industry in celebrating renowned songwriter, singer and journalist, Onyeka Onwenu, on her 70th birthday.
https://t.co/YcIzschBFf
This is as he congratulated the multiple

https://t.co/Jju3A5DhKt https://t.co/bFlYMMTzEn",pmparrotng
5,2022-01-30 21:56:44+00:00,1487907659059810308,"All these are entrepreneurs in Nigeria except : A: Aliko Dangote
B: Mike Otedola
C: Rabiu BUA
D: Muhammadu Buhari",ibraheemgarrba
6,2022-01-30 21:42:24+00:00,1487904049773039618,"Many Nigerians were left bewildered last week when Nigeria's current Works and Housing Minister, Babatunde Fashola declared that on infrastructure, the government of President Muhammadu Buhari which he is part of has accomplished..

Read More: https://t.co/ONdFcIpqcB",atndaily
7,2022-01-30 21:41:33+00:00,1487903836899397634,"President Muhammadu Buhari has joined the entertainment industry in sharing the joyous occasion of the 70th birthday of renowned songwriter, singer and journalist, Onyeka Onwenu. https://t.co/gwfOgTF2RG",StrawberryNG
8,2022-01-30 21:27:00+00:00,1487900176467566592,"country because of the tenure of the leader, President Muhammadu Buhari who is from the North and will be finishing his tenure in 2023.",letisbsbsbs
9,2022-01-30 21:19:53+00:00,1487898386795839491,@erigganewmoney President Muhammadu Buhari,Bob_A_Salam
10,2022-01-30 21:05:51+00:00,1487894853694410760,"Farmers Will Have Access To Fertilizer. 

The Pipeline Will Pass Through Abidjan, Lome,Shata Tema &amp; Takoradi,  Freetown,  Conakry,  Guinea Bissau,  Gambia,  Dakar , Nouakchott,  Tangier And Candiz In Spain.

President Muhammadu Buhari About To Make A Massive History…………",RabiuIdrisKura
11,2022-01-30 20:46:55+00:00,1487890090437357572,"""The most comfortable thing to do is live within your means and damn the consequence"" 

- President Muhammadu Buhari",Famous_Anfield
12,2022-01-30 20:36:54+00:00,1487887569522200578,"@iyaboawokoya @MuhammaduBuhari Hmn.. but after full delivery of his current mandate as Minister of Justices.

Not excited, those known Looters, political rogues excaping Bubu. If Bubu couldn't jail them, who is that politician that will?

Corruption in Govt office ends not having consequences. A minus to Bubu.",fash360degree
13,2022-01-30 20:28:57+00:00,1487885566590992386,@iyaboawokoya @fash360degree @MuhammaduBuhari 👌👌,AvalonGroove
14,2022-01-30 20:27:49+00:00,1487885280359104516,"@fash360degree @iyaboawokoya @MuhammaduBuhari He doesn’t need to campaign, he’s the governor’s candidate",AfahaAnefiok
15,2022-01-30 20:21:46+00:00,1487883758548267008,@fash360degree @MuhammaduBuhari An opportunity to bring some real tough cookie to the position,iyaboawokoya
16,2022-01-30 20:20:22+00:00,1487883408013504524,"Malami for Gov?
He's too serious to handle campaigns. It's a surprise🤔

A loss on many unfinished cases of @muhammadubuhari govt. 

Nice dance for looters who finally Excaped 8yrs of their files gathering dusts in Malami office 🤦
Not excited about his ambition. Goodluck to him",fash360degree
17,2022-01-30 20:09:17+00:00,1487880618260246533,"Maiduguri and in combination with 21 Armoured Brigade succeeded in recapturing all 21 islands along with an extra two islands that were seized.

He retired in 1985 as a Lieutenant Colonel.

Lt. Colonel Ugokwe died on December 30th 2016.

Muhammadu Buhari was involved in the coup",drpenking
18,2022-01-30 20:09:12+00:00,1487880596919566338,"Lt. Colonel Chris Ugokwe (left) and Brigadier Muhammadu Buhari captured together in an undated  photograph (Likely circa early 1980s).

Both men joined the Nigerian Army in the early 1960s (Ugokwe claimed that he enrolled on the same day as both Buhari and Shehu Musa Yar'Adua). https://t.co/kECpTOTtOF",drpenking
19,2022-01-30 19:49:01+00:00,1487875518028468224,"Great Tension, As Asari Dokubo Calls All IPOB Members Big Idiots, Says They Cannot Do Anything To Him, 'Swears' That He Did Not Help President Muhammadu Buhari's Federal Government 'Kidnap' Nnamdi Kanu From Kenya To Nigeria https://t.co/4UtoeS7gu3",page36news
20,2022-01-30 19:33:23+00:00,1487871583813349376,...JUNTA GENERAL MUHAMMADU BUHARI is really fighting Kwaruption!! https://t.co/DlgxlstLiX,Ubonid
21,2022-01-30 19:20:23+00:00,1487868312423915527,"There are trade offs in life, and you must be able to live with some. The question is which one will you be able to live with. 

I’ll take nonsense from Tariq, Mel and his horses all day as long as I don’t have to live with Muhammadu Buhari and his fellow extremists.",Oladayo_Adenubi
22,2022-01-30 19:17:10+00:00,1487867502877106179,"Kindly ReJoin me in my Space!
We Starting Afresh 
Tonight Analysing all 15 politicians who wants to take President Muhammadu Buhari's Job in 2023. https://t.co/dhEcdQNNHG",balogunAsadiq
23,2022-01-30 19:15:56+00:00,1487867192410615808,"President Muhammadu Buhari has joined the entertainment and media industries to celebrate renowned musician Onyeka Onwenu as she turns 70.
https://t.co/vRO9HMj7fi",TheNationNews
24,2022-01-30 19:08:52+00:00,1487865415405608964,"President Muhammadu Buhari, National Chairman APC (Ta’al) and Others. https://t.co/6FsYzw4oKI",S_U_Dikko
25,2022-01-30 18:18:59+00:00,1487852859634896899,Muhammadu Buhari 🙏 https://t.co/hHyZjcvsIc,dan_takara_
26,2022-01-30 18:18:28+00:00,1487852730194534404,Explaining a point to the boss who wasn't ready for excuses as President Muhammadu Buhari was expected to touch down in the next 20mins https://t.co/HWDX7Y9IE7,MIRITIMNANNYANT
27,2022-01-30 18:14:44+00:00,1487851791203147776,"AN GAYYACENI ZUWA  FADAR SHUGABAN KASA ASO ROCK VILLA 
Ranar 3 ga Watan February Za'ai taron masu ruwa da Tsaki na APC Professional Forum
 (State House Conference Hall)
Babban bako mai jawabi shine Maigirma Shugaban Kasar Nigeria President
H.E Muhammadu Buhari CGFR
Shugaban Taro https://t.co/AbAt9a5bjK",abduldanja87
28,2022-01-30 18:14:30+00:00,1487851730373124100,The Presidency wishes to give a further clarification on the circumstances of bad weather which forced the cancellation of the visit to Zamfara State on Thursday of President Muhammadu Buhari in spite of the great interest generated nationwide on the planned visit.,GarShehu
29,2022-01-30 18:05:26+00:00,1487849451863658496,It can only be Muhammadu Buhari. https://t.co/DLff2Ivtw1,BelloAAG
30,2022-01-30 17:43:03+00:00,1487843817512390667,"The Niger Delta Development Commission -NDDC's forensic audit report was submitted to the Attorney General of the Federation and Minister of Justice, Abubakar Malami, SAN, on behalf of President Muhammadu Buhari, on Thursday, September 2, 2021.
#NDDC #NigerDelta #GbaramatuVoice",gbaramatuvoice
31,2022-01-30 17:35:55+00:00,1487842021523996674,"@MuhammadOhinoyi President Muhammadu Buhari Thursday said he was overwhelmed by the banditry in the North West part of the country.
https://t.co/XcyqapsOEB",tripdarlyn
